21:47:19
101.76,4.60,576117,119947,290223,-160,1432,3184,-1366,672,1336,-68863,-11930,-86732,5104,-12840,5952,5721,-1734,624,0,5,0.00,0.00,0.00,0,0,0,0,1,
101.76,4.60,568746,119393,279069,992,2728,3824,-1798,720,1431,-68419,-780,-54301,9320,-8336,7224,5274,-1621,-359,0,5,0.00,0.00,0.00,0,0,0,0,1,
101.76,4.60,561440,118458,265583,5640,7736,6952,-2131,795,1452,-63720,9487,-25175,8832,-7224,9512,4504,-1357,-1124,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,554778,116911,250753,7240,9200,7656,-2334,838,1298,-54211,17448,393,8424,-2264,15920,4142,-1015,-2040,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,550292,114465,235425,8976,12296,10648,-2407,761,889,-40179,22924,26028,7296,-2344,15872,4269,-770,-2599,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,548472,111732,220953,8672,12736,11592,-2294,555,472,-23711,26116,51252,3536,1752,13008,3726,-583,-3086,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,548862,109428,207964,6272,13696,14536,-2081,305,257,-4047,26944,72525,-520,3632,10040,3058,-441,-3450,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,549514,108438,196474,7080,14208,16448,-1817,80,259,16855,25946,90438,-1600,5344,7448,2419,-403,-3384,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,549720,108943,186746,8216,14656,17576,-1526,-70,207,35692,24662,103654,-4632,8720,2256,1426,-443,-2610,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,549467,112590,182014,10952,17816,19824,-1179,-188,136,48264,24236,110056,-5664,7072,2928,486,-470,-1376,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,548886,117206,181038,10680,18920,19032,-607,-328,121,52121,23926,112560,-3440,3256,848,-340,-452,304,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,547865,122521,184771,8872,18488,14304,109,-447,71,45011,27229,107720,1192,1696,3928,-1402,-411,1948,0,5,0.00,0.00,0.00,1,0,0,0,1,
101.76,4.60,546679,127702,191205,7640,16184,12728,512,-466,-41,29390,32533,95957,3496,-16,5232,-2188,-341,2977,0,5,0.00,0.00,0.00,2,0,0,0,1,
101.76,4.60,545759,132273,196900,4200,7408,7816,521,-505,63,10191,37849,79732,7192,-1416,9616,-2640,-255,3201,0,5,0.00,0.00,0.00,2,0,0,1,1,
101.76,4.60,543900,137194,200420,3256,4464,5680,158,-589,181,-7273,42005,61428,7944,-3792,13488,-2914,-182,2601,0,5,0.00,0.00,0.00,2,0,0,2,1,
101.80,4.60,542273,142983,199849,3888,2536,5544,-240,-771,411,-17703,44158,43271,7176,17808,29224,-2548,-95,786,0,5,0.00,0.00,0.00,2,0,0,5,1,
101.76,4.60,538682,149391,195014,2056,2032,13272,-642,-818,1031,-16244,44909,33515,4216,23640,31624,-665,-151,-1006,0,0,0.00,0.00,0.00,2,0,0,13,1,
101.76,4.60,532366,155221,185349,1704,-1896,17704,-901,-626,1430,-5636,43594,36371,-1600,14656,21832,567,4,-2193,0,0,0.00,0.00,0.00,2,0,0,26,1,
101.76,4.60,527026,158486,171227,-256,792,29040,-1555,-213,651,7196,42947,40601,-1192,2704,7808,-22,-239,-1755,0,0,0.00,0.00,0.00,2,0,0,38,1,
101.76,4.60,528138,156819,161833,4344,18088,31600,-974,-130,-28,16068,43105,36322,-664,984,7984,-1825,-121,-1421,0,0,0.00,0.00,0.00,4,0,0,47,1,
101.76,4.60,532908,156237,160108,7928,24112,31064,-46,-131,-1379,24422,43310,19458,-648,-8808,18808,-3328,-8,-1198,0,0,0.00,0.00,0.00,6,1,0,66,1,
101.76,4.50,545230,153841,163587,23320,23608,32767,162,-176,-2540,30941,40824,-1553,-2296,-6128,21760,-3833,339,-1045,0,0,0.00,0.00,0.00,7,3,0,81,1,
101.76,4.60,563842,148850,172134,25440,18552,32767,1599,-99,-4050,42904,37122,-29100,-6536,-8432,32767,-4390,666,-2478,0,0,0.00,0.00,0.00,7,4,1,85,1,
101.80,4.60,591163,141651,189390,872,-27952,7648,2466,-342,-4828,61613,33309,-51887,-8856,-13016,32767,-2976,480,-3026,0,0,0.00,0.00,0.00,8,5,1,83,1,
101.76,4.60,617800,134828,208839,-13336,-32768,2872,1439,-445,-3634,77683,31349,-68348,-4784,-18440,12536,-2520,336,-1871,0,0,0.00,0.00,0.00,9,5,1,83,1,
101.76,4.60,633331,131352,215771,-18352,-9632,-696,46,-201,-2060,85853,30725,-85961,-4864,-14248,3224,-2508,-103,-713,0,0,0.00,0.00,0.00,10,5,2,84,1,
101.76,4.60,646387,121624,213740,-8600,-3712,5616,-575,182,-1067,89439,33126,-100180,-6728,-11720,288,-1718,-735,-482,0,0,0.00,0.00,0.00,10,5,2,84,1,
101.76,4.60,652543,114639,205829,-5400,-4376,12672,-860,410,76,91237,35507,-112976,-8856,-14136,6448,-1481,-792,240,0,0,0.00,0.00,0.00,11,6,2,80,1,
101.76,4.60,648361,113818,195159,5136,-8112,15672,-806,460,1183,82462,33204,-128405,-8800,-15896,8912,-1391,-423,2598,0,0,0.00,0.00,0.00,11,6,2,76,1,
101.76,4.60,641047,114811,183160,5896,-7112,16632,-806,413,1163,59112,28885,-138642,-1584,-19528,14376,-1380,-163,4540,0,0,0.00,0.00,0.00,11,6,2,73,1,
101.76,4.60,634698,116664,173177,9480,-2048,18688,-749,357,987,27790,21970,-150109,9376,-11896,19064,-1662,-34,5297,0,0,0.00,0.00,0.00,11,6,2,67,1,
101.76,4.60,629714,118153,163265,9112,-1168,19424,-1118,377,765,-4905,14340,-160915,13920,-10352,21248,-1355,53,4823,0,0,0.00,0.00,0.00,11,6,2,60,1,
101.76,4.60,626180,118866,151717,6560,-2384,19232,-1251,427,425,-29521,9037,-167049,18960,-5744,20464,-736,43,2646,0,0,0.00,0.00,0.00,11,6,2,52,1,
101.76,4.60,625874,117055,141249,3032,-1584,16208,-1175,334,283,-33948,13811,-171587,16552,-7704,16976,-563,121,-609,0,0,0.00,0.00,0.00,10,6,2,43,1,
101.76,4.60,625430,115118,131068,2576,-376,16344,-1402,276,422,-21982,16844,-176518,5352,-9240,12264,-993,215,-2648,0,0,0.00,0.00,0.00,10,6,2,35,1,
101.76,4.60,624338,113682,120634,2240,624,14936,-1392,196,523,-1982,21562,-183974,2080,-8736,11776,-1295,233,-3279,0,0,0.00,0.00,0.00,10,6,2,28,1,
101.76,4.60,622535,112775,110450,1928,-8,13920,-1348,169,608,18755,26249,-191692,-5872,-6992,11304,-1224,173,-2993,0,0,0.00,0.00,0.00,9,6,2,24,1,
101.76,4.60,620311,112184,100030,2784,-1656,11416,-1361,189,647,35561,30066,-199155,-6264,-4856,8080,-1062,71,-2001,0,0,0.00,0.00,0.00,9,5,2,20,1,
101.76,4.60,617744,111821,89260,4488,-1800,11176,-1422,276,666,42806,29232,-204530,-8952,-6208,13040,-822,134,-344,0,0,0.00,0.00,0.00,9,5,2,16,1,
101.76,4.60,615645,110990,77774,4136,-2224,11408,-1502,316,561,40560,25968,-209880,-2776,-5400,11328,-590,-36,627,0,0,0.00,0.00,0.00,9,6,2,14,1,
101.76,4.60,613834,110720,67184,5120,-640,11344,-1453,304,467,33644,23475,-213169,-8,-3840,10496,-465,-37,1341,0,0,0.00,0.00,0.00,8,6,2,13,1,
101.76,4.60,613231,110124,57231,4912,-32,12072,-1486,318,263,24961,21912,-214953,4976,-1560,10680,-525,-52,1351,0,0,0.00,0.00,0.00,8,6,2,12,1,
101.76,4.60,613849,108765,48320,3752,3000,13672,-1409,289,66,24961,21912,-214953,4976,-1560,10680,-525,-52,1351,0,0,0.00,0.00,0.00,8,6,2,12,1,
101.76,4.60,615446,107567,41362,2144,3456,13480,-1201,197,-90,18159,21728,-217651,7144,-160,12816,-816,31,940,0,0,0.00,0.00,0.00,7,6,2,11,1,
101.76,4.60,617295,106418,35682,2064,4360,12520,-1072,140,-54,15532,22845,-220703,6272,496,12656,-850,60,109,0,0,0.00,0.00,0.00,7,6,2,10,1,
101.76,4.60,618696,105556,30983,2208,5272,12176,-1010,118,-29,19028,25108,-224252,2112,256,11944,-1037,74,-854,0,0,0.00,0.00,0.00,6,6,2,9,1,
101.76,5.18,619930,104978,27140,2056,6136,12496,-944,106,-35,26665,27496,-229204,-896,456,11512,-1329,67,-1263,0,0,0.00,0.00,0.00,6,7,3,8,1,
101.76,4.60,621329,104231,24022,1192,6392,11384,-856,76,-56,34824,29292,-235561,-2496,560,12632,-1507,39,-1105,0,0,0.00,0.00,0.00,7,6,3,7,1,
101.76,4.60,622620,103173,21421,352,6392,12192,-779,38,-29,40159,30141,-242155,-1912,-592,11720,-1406,-16,-460,0,5,0.00,0.00,0.00,6,7,4,6,1,
101.80,4.60,623139,102610,18853,1072,5744,11688,-744,-1,203,40399,29913,-248881,560,-1400,11168,-1345,-28,306,0,5,0.00,0.00,0.00,7,8,5,5,1,
101.76,4.60,621886,102554,16286,1072,5144,10664,-654,-31,502,37790,29083,-255820,1592,-1976,10624,-1379,-11,436,0,5,0.00,0.00,0.00,7,8,5,4,1,
101.76,4.60,618785,102836,13144,2144,4672,10672,-690,-3,790,36030,28452,-263702,792,-2368,10416,-1532,10,192,0,5,0.00,0.00,0.00,6,8,6,4,1,
101.76,4.60,613938,103166,9570,3600,5160,11192,-768,51,1118,35455,27927,-272403,-56,-1936,10040,-1687,28,158,0,5,0.00,0.00,0.00,6,9,7,4,1,
101.76,4.60,607220,103950,5681,5784,5464,11824,-783,90,1367,34099,26928,-282665,936,-1088,11064,-1785,60,307,0,5,0.00,0.00,0.00,6,10,7,4,1,
101.76,4.60,599415,105483,1838,7736,5920,11664,-682,86,1441,32008,25341,-293569,1320,344,12328,-1958,103,371,0,5,0.00,0.00,0.00,6,10,7,4,1,
101.76,4.60,592029,107671,-1275,8016,5144,11872,-537,32,1196,29701,23313,-305402,1312,32,13416,-2092,161,362,0,5,0.00,0.00,0.00,6,10,7,3,1,
101.76,4.60,586442,109727,-2705,6520,7544,14296,-470,37,891,27701,20981,-317709,-56,344,13624,-2211,206,237,0,5,0.00,0.00,0.00,6,11,7,2,1,
101.76,4.60,582466,110617,-2452,4752,8568,15376,-285,97,570,26763,19001,-331230,168,240,15440,-2500,204,142,0,5,0.00,0.00,0.00,7,12,6,2,1,
101.76,4.60,580650,110823,-195,5080,9136,15480,-104,113,241,25013,16709,-346195,-1248,1384,18584,-2741,160,429,0,5,0.00,0.00,0.00,6,12,6,2,1,
101.76,4.60,580444,111067,2804,3704,8704,14984,26,23,8,20854,12777,-361838,-3632,976,19312,-2773,229,556,0,5,0.00,0.00,0.00,5,13,5,1,1,
101.76,4.60,580099,111303,7403,2152,10360,14520,298,-16,79,16380,7937,-377602,-5040,208,18648,-2865,290,542,0,5,0.00,0.00,0.00,5,12,4,1,1,
101.76,4.60,579115,111063,13953,2072,12392,15280,471,29,204,10926,2105,-394362,-6088,600,18768,-3083,293,725,0,5,0.00,0.00,0.00,5,11,3,1,1,
101.76,4.60,576869,110538,22316,2096,12800,15472,843,87,351,3180,-5187,-412308,-5816,8136,19936,-3402,243,871,0,5,0.00,0.00,0.00,5,11,3,1,1,
101.76,4.60,573629,109739,33149,2272,12632,16912,1278,143,341,-4681,-12012,-434466,-4008,13472,25104,-3941,218,817,0,5,0.00,0.00,0.00,3,9,3,1,1,
101.76,4.60,570574,108193,45962,2680,11008,19216,1650,159,279,-15208,-20979,-459067,-3872,9768,30592,-4015,263,1525,0,5,0.00,0.00,0.00,3,7,4,1,1,
101.76,4.60,567431,107249,57689,1560,6960,21664,2217,155,181,-35890,-37908,-482065,-2584,4424,32767,-3955,295,2419,0,5,0.00,0.00,0.00,3,5,4,1,1,
