21:32:59
101.76,4.60,765220,127130,272528,-6096,-6848,2144,-355,-673,-835,810045,41591,35284,-4592,-11968,10232,-2600,-234,-3281,0,0,0.00,0.00,0.00,5,1,1,86,1,
101.76,4.60,772777,125840,268015,-1768,-2464,5160,-725,-681,-688,828767,41562,21228,-7304,-14080,5304,-1956,-354,-2239,0,0,0.00,0.00,0.00,5,1,1,95,1,
101.76,4.60,776648,128453,260193,3832,-6464,11512,-839,-498,-340,837487,42873,9360,-5952,-13560,4976,-1747,-486,-471,0,0,0.00,0.00,0.00,5,1,2,104,1,
101.76,4.60,777966,130962,249741,5928,-7856,16816,-920,-204,186,837136,45339,-3869,-3656,-11136,10640,-2133,-545,561,0,0,0.00,0.00,0.00,6,1,2,109,1,
101.76,4.60,777429,132338,237119,7960,-4824,19616,-1001,101,253,832935,47831,-18631,-1736,-10088,16336,-2103,-465,967,0,0,0.00,0.00,0.00,6,2,3,114,1,
101.76,4.60,776951,132931,226444,7816,-1856,19456,-922,224,35,827295,49643,-31727,-160,-8808,20184,-1829,-340,1094,0,0,0.00,0.00,0.00,6,2,3,115,1,
101.76,4.60,778870,131660,217559,4544,-520,18752,-841,174,-292,820810,50814,-43046,2232,-7736,20744,-1522,-286,1263,0,0,0.00,0.00,0.00,6,2,3,114,1,
101.76,4.60,782562,129305,209634,2088,-848,17384,-917,93,-338,813633,52748,-54585,4176,-7880,19480,-1295,-296,1212,0,0,0.00,0.00,0.00,6,2,4,106,1,
101.76,4.60,785904,126902,201168,456,-1152,14208,-1024,34,-100,808069,55199,-65146,4072,-7608,16464,-1143,-300,751,0,0,0.00,0.00,0.00,6,2,3,96,1,
101.76,4.60,787750,124944,191701,-552,-944,14752,-1238,-34,191,805785,57394,-74748,13176,-1416,24520,-1178,-282,190,0,0,0.00,0.00,0.00,6,2,3,86,1,
101.76,4.60,787719,123595,181104,408,-120,14600,-1351,-7,577,807640,58129,-82645,-384,-7880,12352,-1151,-361,-505,0,0,0.00,0.00,0.00,6,2,3,76,1,
101.80,4.60,785142,123374,169311,1984,-1608,14000,-1458,56,913,809894,58410,-92223,-400,-8376,14056,-1080,-194,-123,0,0,0.00,0.00,0.00,6,2,3,66,1,
101.76,4.60,780653,124423,156581,4144,-3088,12824,-1510,112,1065,810684,59154,-100628,664,-8224,13168,-911,-172,-80,0,0,0.00,0.00,0.00,6,2,4,57,1,
101.76,4.60,775894,125567,142717,4616,-3456,13448,-1637,171,1080,811799,60118,-108254,968,-6984,13432,-837,-184,-143,0,0,0.00,0.00,0.00,6,2,4,51,1,
101.76,4.60,771570,125554,130448,5544,-2376,14240,-1721,242,1011,813045,61345,-114530,1112,-7288,14024,-664,-190,-120,0,0,0.00,0.00,0.00,6,2,4,45,1,
101.76,4.60,767900,124969,118270,4896,-1672,13960,-1694,273,908,813801,62535,-119559,1456,-6016,13248,-503,-231,-20,0,0,0.00,0.00,0.00,6,2,4,40,1,
101.76,4.60,764833,123988,106482,3464,-1016,14104,-1693,284,829,813962,63967,-123328,1048,-4280,13160,-496,-262,-1,0,0,0.00,0.00,0.00,5,2,4,36,1,
101.76,4.60,762174,122656,94773,2368,-240,13352,-1706,298,778,814260,65355,-126688,832,-2760,13520,-528,-271,-10,0,0,0.00,0.00,0.00,5,2,4,32,1,
101.76,4.60,759752,121084,83196,1552,296,13680,-1709,309,763,814725,66562,-129683,560,-2528,13672,-533,-272,-74,0,0,0.00,0.00,0.00,5,2,5,29,1,
101.76,4.60,757153,119354,71707,1712,936,13824,-1714,330,818,815390,67676,-132584,-224,-2288,14144,-575,-262,-56,0,0,0.00,0.00,0.00,5,2,5,27,1,
101.76,4.60,754170,117567,60189,1848,968,13576,-1706,334,876,815593,68546,-135440,232,-2176,13656,-491,-266,62,0,0,0.00,0.00,0.00,5,2,5,25,1,
101.76,4.60,750839,115747,48662,1176,464,13624,-1702,323,927,814858,69449,-137827,536,-1968,12696,-479,-258,198,0,0,0.00,0.00,0.00,5,2,5,22,1,
101.76,4.60,746556,114048,37336,1944,1072,13336,-1644,324,1108,813728,70365,-140570,1112,-1912,13368,-550,-260,231,0,0,0.00,0.00,0.00,5,2,5,19,1,
101.76,4.60,741682,112265,25974,1232,696,13072,-1645,319,1197,812459,71618,-143566,2176,-2248,12936,-520,-263,286,0,0,0.00,0.00,0.00,5,3,5,17,1,
101.76,4.60,735890,110353,14683,976,784,13152,-1593,333,1361,811184,73164,-146478,2400,-2256,12808,-541,-272,197,0,0,0.00,0.00,0.00,6,2,6,15,1,
101.76,4.60,729069,107791,3656,888,664,13056,-1573,355,1506,810952,74828,-149375,1440,-2432,12728,-582,-278,34,0,0,0.00,0.00,0.00,6,2,6,14,1,
101.76,4.60,721305,104762,-7244,912,328,12592,-1520,375,1640,811183,76265,-152732,816,-3200,12808,-586,-283,28,0,0,0.00,0.00,0.00,6,3,7,13,1,
101.76,4.60,712547,102127,-17898,1768,1216,12144,-1477,405,1709,811140,77396,-156194,216,-3168,12576,-585,-292,66,0,0,0.00,0.00,0.00,6,3,7,12,1,
101.76,4.60,703895,99164,-28812,1488,-488,12568,-1558,449,1705,811002,78403,-159857,-256,-3272,13080,-645,-298,53,0,0,0.00,0.00,0.00,6,3,8,11,1,
101.76,4.60,695480,95647,-40426,1512,-1800,13144,-1689,534,1608,810801,79204,-163633,-128,-3352,13584,-658,-314,109,0,0,0.00,0.00,0.00,6,3,8,10,1,
101.76,4.60,687560,91411,-52605,1400,-2776,13320,-1757,619,1548,809900,79965,-167365,272,-2976,14168,-638,-324,269,0,0,0.00,0.00,0.00,6,3,9,8,1,
101.76,4.60,680087,86552,-65085,-512,-3696,14608,-1827,671,1429,808027,80824,-170945,896,-2432,14776,-642,-347,389,0,0,0.00,0.00,0.00,7,4,9,8,1,
101.76,4.60,672745,81522,-77783,456,-3344,12968,-1903,699,1536,805855,81814,-174200,1632,-1176,14120,-648,-356,364,0,5,0.00,0.00,0.00,7,5,10,6,1,
101.76,4.60,665900,76281,-90712,1408,-1856,13440,-1862,659,1211,804345,83401,-177048,2024,56,13680,-734,-359,299,0,5,0.00,0.00,0.00,7,5,10,6,1,
101.76,4.60,660202,71392,-102621,1448,-1712,12360,-1803,630,1127,802972,85108,-179728,2488,1056,12616,-780,-332,311,0,5,0.00,0.00,0.00,8,5,11,5,1,
101.76,4.60,654340,66692,-114458,4008,552,12656,-1868,620,1179,801843,86966,-182487,3312,1664,11784,-831,-293,288,0,5,0.00,0.00,0.00,8,6,11,5,1,
101.76,4.60,648623,62103,-126440,6184,2248,13864,-1897,608,1043,801103,89035,-185745,3728,1928,10984,-948,-249,235,0,5,0.00,0.00,0.00,8,6,11,4,1,
101.76,4.60,644113,58071,-137606,7104,2424,14256,-1730,561,813,801293,91228,-189627,4232,2576,11488,-1115,-201,95,0,5,0.00,0.00,0.00,9,7,11,4,1,
101.76,4.60,640841,54871,-147480,9544,2424,15016,-1533,470,606,802345,93551,-194055,4512,3168,12184,-1259,-163,45,0,5,0.00,0.00,0.00,9,7,11,3,1,
101.76,4.60,639505,55466,-153964,9752,2224,15480,-1336,354,392,803758,95781,-199077,4736,3728,13400,-1477,-130,24,0,5,0.00,0.00,0.00,9,8,12,3,1,
101.76,4.60,639395,57139,-159202,9664,1560,16640,-1148,239,198,805589,97831,-204770,4704,4832,14336,-1630,-90,-9,0,5,0.00,0.00,0.00,9,8,11,3,1,
101.76,4.60,640180,59227,-163339,9024,1392,17104,-991,150,94,807409,98960,-213979,4080,4840,14352,-1742,-60,1,0,5,0.00,0.00,0.00,9,8,10,3,1,
101.76,4.60,641135,61127,-166466,6568,1328,17880,-854,84,48,809034,99801,-224005,3176,4352,15072,-1909,-28,71,0,5,0.00,0.00,0.00,9,9,9,2,1,
101.76,4.60,641769,62744,-168649,4968,1176,18296,-709,9,100,810316,100137,-235241,2632,4632,15832,-2125,24,174,0,5,0.00,0.00,0.00,9,10,8,2,1,
