21:09:52
101.76,4.60,-1109903,105848,-22990,-4776,5344,22960,3031,-719,-1541,-1285141,33319,-370476,16,3176,22040,-3243,-86,2404,0,5,0.00,0.00,0.00,3,1,9,1,1,
101.76,4.60,-1104754,109086,-1774,-5120,3448,22640,3460,-644,-1087,-1302572,22993,-389928,3680,-4376,28760,-3365,28,2648,0,5,0.00,0.00,0.00,2,1,5,1,1,
101.76,4.60,-1104120,112129,20113,-5304,-1344,23216,3614,-676,-309,-1324774,8603,-408589,3320,-7968,30184,-2928,56,2776,0,5,0.00,0.00,0.00,2,1,3,1,1,
101.76,4.60,-1108243,115663,40925,-5608,-5416,24048,3603,-758,392,-1344577,-4642,-423235,1696,-16440,27648,-2267,27,1997,0,5,0.00,0.00,0.00,1,1,2,1,1,
101.76,4.60,-1116031,120418,60466,-5168,-7688,23944,3581,-893,842,-1359305,-14515,-434437,1072,-10496,24952,-1871,-49,1650,0,5,0.00,0.00,0.00,1,1,0,1,1,
101.76,4.60,-1125983,126431,79073,-3080,-8360,22120,3456,-955,1159,-1372657,-22879,-440679,888,-12112,22664,-1208,-44,1592,0,5,0.00,0.00,0.00,1,0,0,2,1,
101.76,4.60,-1137949,133642,95852,944,-6936,20648,3218,-982,1371,-1386502,-32453,-446580,-664,-23080,11672,-827,-6,1409,0,5,0.00,0.00,0.00,1,0,0,2,1,
101.76,4.60,-1149851,141741,111324,3440,-5944,20584,3020,-1021,1158,-1397161,-40106,-455892,-384,-22528,8432,-1321,-4,988,0,5,0.00,0.00,0.00,1,0,0,1,1,
101.76,4.60,-1160149,150225,126019,4840,-4312,21248,2852,-1048,859,-1405841,-46292,-465899,-704,-11000,15464,-1748,-61,797,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1168319,158644,140400,6968,-3152,21416,2763,-1045,468,-1413855,-50956,-471768,552,-9768,16880,-988,-157,977,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.80,4.60,-1174745,166864,154962,7736,-3632,19720,2778,-1048,175,-1420703,-53002,-472074,6928,-8776,16488,-195,-239,892,0,5,0.00,0.00,0.00,1,0,0,1,1,
101.76,4.60,-1179529,174937,169929,7424,-4608,17440,2758,-1091,-161,-1420832,-48536,-469076,9896,-8928,13384,398,-338,40,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1182869,183096,185160,6952,-4384,15168,2714,-1171,-360,-1411141,-36369,-465209,8824,-10944,10584,944,-458,-1171,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1185191,191520,200390,6880,-3104,14304,2629,-1257,-583,-1394877,-21539,-460355,1104,-13256,8208,987,-498,-2186,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,6.55,-1185833,199952,215868,7168,-1728,14016,2632,-1351,-966,-1373956,-3802,-454739,-1056,-13696,8256,1258,-496,-2368,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1183967,207927,232739,7096,-1304,13992,2705,-1417,-1521,-1355259,11916,-446475,-3768,-13528,8024,1634,-469,-1998,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1178597,214528,251078,6288,-1872,14032,2717,-1409,-2116,-1341098,24003,-435748,-3392,-13072,7784,1971,-424,-1510,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1169621,219104,270553,5344,-2920,13848,2697,-1369,-2643,-1331027,32905,-422859,-2616,-12384,8640,2300,-383,-1230,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1157557,221477,290760,3736,-4208,13208,2642,-1314,-2990,-1322854,40069,-407909,920,-11912,5280,2590,-311,-1115,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1143324,221985,310829,2184,-4904,13000,2517,-1282,-3183,-1314552,46419,-390415,-4072,-10280,11928,2816,-297,-1162,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,-1127757,221059,330797,640,-4680,11776,2490,-1232,-3215,-1307943,51906,-371803,-1408,-9496,8464,3320,-281,-1232,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.70,-1111908,219090,350526,-832,-3496,10200,2404,-1153,-3033,-1300053,57791,-350184,-2088,-9632,8512,3664,-241,-1400,0,5,0.00,0.00,0.00,0,0,0,2,1,
101.76,4.60,-1097180,216713,369049,-1160,-2744,9544,2279,-1047,-2730,-1293484,62110,-326377,-4088,-12376,6480,4121,-184,-1048,0,5,0.00,0.00,0.00,0,0,0,2,1,
101.76,4.60,-1083899,214247,386770,-2152,-1064,7560,2282,-948,-2457,-1291548,63587,-301126,-3400,-12160,6328,4275,-151,-404,0,5,0.00,0.00,0.00,0,0,0,1,1,
