21:37:15
101.76,4.60,466359,205756,340082,-488,-5816,3488,795,-159,-1731,346269,-22664,-343653,-104,-12656,-2792,4763,-1114,110,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,476672,200237,346049,-584,-5624,3648,490,-17,-1476,348135,-14861,-315486,1688,-12880,-2224,4975,-1176,-283,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,485561,194502,347987,-312,-6088,3400,270,69,-1223,353882,-4736,-285257,96,-15272,-1336,5404,-1237,-982,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,493723,188786,347825,424,-4576,4088,-16,133,-979,362417,6249,-253067,-552,-15696,-656,5593,-1149,-1312,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,501058,183164,345396,136,-6088,2296,-300,177,-833,372360,16329,-220099,-3464,-14704,3032,5675,-996,-1907,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,508067,177606,340374,8,-5608,4584,-580,159,-603,386012,25811,-185646,-5480,-16568,4680,6101,-824,-2403,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,513548,173064,334588,-2488,-7688,3384,-695,143,-421,398791,32873,-148557,-9272,-20296,6912,6652,-718,-2041,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,518932,167707,326415,-3800,-8656,2184,-1138,150,-170,407109,37987,-107388,-6552,-15144,6904,6981,-720,-1258,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,522598,163791,314779,-1544,-8096,1560,-1572,174,159,409094,41736,-67207,-2272,-12128,10624,6441,-629,-103,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,4.60,523948,161924,302768,-792,-5512,2584,-1979,162,567,404136,44631,-31683,3128,-5928,17016,5531,-561,818,0,5,0.00,0.00,0.00,0,0,0,1,1,
101.76,3.92,522674,161353,287608,-1912,848,5520,-2517,199,1132,396504,48140,-608,6448,-4176,20872,5307,-681,866,0,5,0.00,0.00,0.00,0,0,0,1,1,
