21:52:02
101.76,4.60,664283,72557,-1892,10576,10952,10440,-338,123,1805,-115764,30370,-378471,2896,9008,14200,-2619,336,584,0,5,0.00,0.00,0.00,6,11,5,2,1,
101.76,4.60,656225,76122,290,10888,12136,13080,-139,80,722,-118916,26094,-394215,1840,9344,16928,-3097,422,451,0,5,0.00,0.00,0.00,6,11,4,2,1,
101.76,4.60,655746,79333,5672,7544,10592,12776,349,-6,-404,-121772,21364,-412362,-1072,4752,17624,-3301,449,423,0,5,0.00,0.00,0.00,5,11,4,2,1,
101.76,4.60,659957,81085,13164,4016,10768,12752,574,-38,-926,-125051,16050,-431580,-5864,2376,17936,-3544,413,350,0,5,0.00,0.00,0.00,5,11,3,1,1,
101.76,4.60,665739,81473,22350,1352,11944,12704,817,-25,-1001,-128727,10482,-452952,-9720,5608,18776,-4008,296,364,0,5,0.00,0.00,0.00,5,11,2,2,1,
101.76,4.60,670242,80872,33504,-440,11872,13048,1202,7,-569,-132020,6682,-479262,-15160,12152,29704,-4653,-114,520,0,5,0.00,0.00,0.00,5,9,3,1,1,
101.76,4.60,671117,79317,46266,-1672,10240,15680,1616,118,-52,-141956,-1124,-509420,-15168,13384,30192,-4822,112,1729,0,5,0.00,0.00,0.00,4,7,3,1,1,
101.76,4.60,669371,77933,57669,-1744,7712,19056,2045,257,188,-169338,-23371,-536149,-8184,-4040,32767,-4199,232,3501,0,5,0.00,0.00,0.00,4,6,3,1,1,
101.76,4.60,666436,75995,71661,-2096,3776,21376,2575,332,206,-219308,-66812,-556011,11128,-29472,11264,-3844,540,5072,0,5,0.00,0.00,0.00,4,4,3,1,1,
101.76,4.60,663992,73987,87988,-592,-120,21832,2943,263,54,-284438,-125237,-571993,1864,-13368,32767,-3357,826,5330,0,5,0.00,0.00,0.00,3,3,3,1,1,
101.76,4.60,661445,73121,105767,-352,-4048,23032,3184,66,289,-348370,-184883,-580336,-5160,-16920,28336,-2360,1097,4612,0,5,0.00,0.00,0.00,3,2,2,1,1,
